iter	Passed	Remaining
0	4	420
1	8	415
2	12	404
3	15	376
4	19	377
5	23	370
6	31	416
7	35	403
8	38	385
9	41	373
10	46	376
11	50	368
12	53	358
13	56	347
14	59	336
15	63	330
16	65	322
17	68	313
18	71	306
19	74	298
20	77	291
21	81	287
22	84	283
23	88	279
24	92	276
25	95	270
26	98	265
27	100	258
28	103	252
29	106	248
30	109	243
31	111	237
32	114	232
33	117	228
34	121	225
35	125	222
36	128	219
37	132	215
38	137	214
39	141	212
40	144	208
41	146	202
42	149	198
43	153	195
44	156	191
45	160	188
46	163	184
47	167	181
48	170	177
49	174	174
50	178	171
51	183	169
52	186	165
53	190	162
54	193	158
55	196	154
56	199	150
57	202	146
58	205	142
59	209	139
60	212	135
61	215	131
62	218	128
63	221	124
64	224	120
65	227	117
66	230	113
67	233	109
68	235	105
69	238	102
70	241	98
71	244	95
72	247	91
73	250	88
74	252	84
75	255	80
76	258	77
77	260	73
78	263	70
79	267	66
80	269	63
81	272	59
82	275	56
83	278	53
84	281	49
85	284	46
86	286	42
87	289	39
88	292	36
89	295	32
90	298	29
91	300	26
92	303	22
93	307	19
94	309	16
95	312	13
96	315	9
97	318	6
98	321	3
99	324	0
