iter	Passed	Remaining
0	10	10492
1	16	8398
2	22	7508
3	40	9968
4	59	11772
5	65	10818
6	72	10311
7	78	9724
8	88	9693
9	98	9780
10	108	9768
11	126	10389
12	132	10087
13	146	10308
14	155	10203
15	166	10215
16	175	10160
17	182	9944
18	202	10467
19	213	10447
20	220	10300
21	228	10152
22	239	10162
23	246	10032
24	257	10060
25	263	9861
26	271	9778
27	282	9810
28	291	9774
29	300	9703
30	306	9591
31	322	9748
32	334	9795
33	342	9737
34	359	9898
35	367	9839
36	373	9729
37	382	9678
38	388	9576
39	395	9480
40	404	9469
41	417	9533
42	427	9509
43	443	9634
44	452	9610
45	460	9541
46	465	9443
47	473	9386
48	480	9319
49	494	9398
50	503	9368
51	509	9291
52	514	9200
53	526	9225
54	531	9138
55	542	9145
56	549	9094
57	555	9027
58	562	8973
59	571	8954
60	581	8943
61	589	8924
62	596	8872
63	608	8894
64	623	8974
65	631	8930
66	637	8882
67	642	8806
68	653	8816
69	657	8741
70	665	8705
71	670	8639
72	682	8662
73	686	8596
74	693	8553
75	699	8503
76	703	8438
77	713	8439
78	718	8380
79	730	8403
80	736	8360
81	748	8379
82	751	8302
83	761	8303
84	766	8249
85	777	8264
86	792	8311
87	797	8261
88	805	8240
89	813	8230
90	824	8233
91	828	8180
92	844	8236
93	856	8255
94	869	8280
95	876	8252
96	885	8246
97	891	8201
98	903	8223
99	912	8211
100	922	8207
101	927	8167
102	937	8164
103	943	8125
104	952	8116
105	962	8118
106	977	8154
107	984	8127
108	989	8091
109	1005	8138
110	1013	8118
111	1019	8079
112	1028	8071
113	1034	8043
114	1043	8028
115	1050	8006
116	1063	8023
117	1070	8000
118	1084	8029
119	1097	8050
120	1107	8048
121	1114	8018
122	1124	8019
123	1130	7986
124	1137	7963
125	1144	7937
126	1150	7905
127	1157	7887
128	1164	7860
129	1171	7838
130	1189	7887
131	1195	7861
132	1204	7853
133	1214	7851
134	1228	7869
135	1240	7879
136	1250	7879
137	1259	7864
138	1269	7860
139	1280	7867
140	1290	7862
141	1298	7844
142	1310	7854
143	1319	7844
144	1333	7864
145	1348	7889
146	1364	7919
147	1375	7920
148	1386	7916
149	1394	7901
150	1401	7881
151	1411	7876
152	1426	7895
153	1433	7876
154	1445	7878
155	1458	7888
156	1463	7860
157	1476	7867
158	1493	7901
159	1499	7869
160	1502	7829
161	1512	7821
162	1517	7793
163	1526	7780
164	1531	7750
165	1540	7740
166	1548	7725
167	1559	7725
168	1565	7698
169	1572	7678
170	1585	7687
171	1598	7693
172	1607	7683
173	1620	7695
174	1629	7682
175	1646	7709
176	1654	7694
177	1671	7720
178	1683	7723
179	1694	7717
180	1703	7706
181	1715	7710
182	1721	7687
183	1732	7684
184	1741	7671
185	1748	7652
186	1755	7632
187	1766	7629
188	1774	7612
189	1790	7634
190	1798	7618
191	1804	7592
192	1811	7573
193	1819	7560
194	1829	7551
195	1836	7535
196	1852	7552
197	1859	7533
198	1867	7515
199	1883	7533
200	1891	7518
201	1899	7502
202	1908	7491
203	1912	7463
204	1917	7436
205	1924	7419
206	1930	7395
207	1939	7383
208	1944	7359
209	1950	7335
210	1956	7317
211	1963	7296
212	1969	7277
213	1975	7257
214	1993	7278
215	2003	7272
216	2009	7249
217	2017	7236
218	2022	7211
219	2026	7185
220	2039	7189
221	2046	7171
222	2052	7152
223	2057	7126
224	2065	7114
225	2071	7093
226	2077	7074
227	2083	7053
228	2089	7033
229	2098	7024
230	2102	7000
231	2111	6989
232	2116	6968
233	2126	6961
234	2134	6949
235	2142	6935
236	2148	6917
237	2154	6897
238	2161	6882
239	2166	6859
240	2173	6846
241	2178	6822
242	2191	6827
243	2197	6808
244	2206	6799
245	2211	6776
246	2215	6753
247	2223	6742
248	2228	6722
249	2235	6705
250	2241	6688
251	2244	6663
252	2251	6646
253	2256	6626
254	2259	6601
255	2262	6575
256	2266	6553
257	2271	6531
258	2274	6507
259	2277	6482
260	2282	6461
261	2286	6440
262	2290	6419
263	2296	6402
264	2301	6383
265	2305	6361
266	2309	6340
267	2316	6327
268	2319	6303
269	2323	6280
270	2328	6262
271	2331	6240
272	2335	6218
273	2338	6195
274	2342	6175
275	2346	6155
276	2349	6132
277	2352	6110
278	2358	6094
279	2362	6073
280	2365	6052
281	2368	6030
282	2374	6016
283	2381	6003
284	2384	5981
285	2387	5961
286	2394	5948
287	2397	5928
288	2401	5907
289	2408	5897
290	2412	5876
291	2415	5856
292	2422	5844
293	2426	5827
294	2430	5808
295	2436	5794
296	2441	5779
297	2445	5761
298	2451	5747
299	2456	5732
300	2461	5715
301	2465	5697
302	2468	5679
303	2472	5661
304	2476	5643
305	2480	5625
306	2484	5609
307	2489	5593
308	2493	5575
309	2496	5557
310	2502	5543
311	2505	5524
312	2508	5505
313	2513	5491
314	2518	5476
